BGP router identifier 10.10.10.1, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
10.10.10.2      4        65001     377     377        1    0    0 00:59:27        0
10.10.10.3      4        65001     377     377        1    0    0 00:59:28        0
10.10.10.4      4        65001     375     376        1    0    0 00:59:30        0
10.10.10.5      4        65001     378     375        1    0    0 00:59:32        0
10.10.10.6      4        65001     377     378        1    0    0 00:59:25        0
10.10.10.7      4        65001     376     376        1    0    0 00:59:24        0
10.10.10.8      4        65001     379     377        1    0    0 00:59:28        0
10.10.10.9      4        65001     374     376        1    0    0 00:59:20        0
10.10.10.10     4        65001     375     376        1    0    0 00:59:21        0
10.10.10.11     4        65001     376     375        1    0    0 00:59:22        0
10.10.10.12     4        65001     373     375        1    0    0 00:59:16        0
10.10.10.13     4        65001     375     377        1    0    0 00:59:18        0
10.10.10.14     4        65001       0       0        1    0    0 00:56:33 Idle
10.10.10.15     4        65001     377     377        1    0    0 00:59:16        0
10.10.10.16     4        65001     374     373        1    0    0 00:59:08        0
10.10.10.17     4        65001     375     373        1    0    0 00:59:00        0
10.10.10.18     4        65001     375     373        1    0    0 00:59:09        0
10.10.10.19     4        65001     373     374        1    0    0 00:58:56        0
10.10.10.20     4        65001     373     376        1    0    0 00:58:57        0
10.10.10.21     4        65001     372     374        1    0    0 00:58:57        0
10.10.10.22     4        65001     378     372        1    0    0 00:59:01        0
10.10.10.23     4        65001     372     373        1    0    0 00:58:55        0
10.10.10.24     4        65001     369     373        1    0    0 00:58:49        0
10.10.10.25     4        65001     373     370        1    0    0 00:58:49        0
10.10.10.26     4        65001     375     373        1    0    0 00:58:52        0
10.10.10.27     4        65001     371     373        1    0    0 00:58:45        0
10.10.10.28     4        65001       0       0        1    0    0 never    Idle
10.10.10.29     4        65001     371     370        1    0    0 00:58:39        0
10.10.10.30     4        65001     370     370        1    0    0 00:58:42        0
10.10.10.31     4        65001     371     372        1    0    0 00:58:41        0
10.10.10.32     4        65001     370     370        1    0    0 00:58:33        0
10.10.10.33     4        65001     369     372        1    0    0 00:58:28        0
10.10.10.34     4        65001     371     371        1    0    0 00:58:30        0
10.10.10.35     4        65001     371     371        1    0    0 00:58:29        0
10.10.10.36     4        65001     369     371        1    0    0 00:58:23        0
10.10.10.37     4        65001     369     370        1    0    0 00:58:21        0
10.10.10.38     4        65001     370     369        1    0    0 00:58:14        0
10.10.10.39     4        65001     370     370        1    0    0 00:58:13        0
10.10.10.40     4        65001     370     371        1    0    0 00:58:17        0
10.10.10.41     4        65001     366     367        1    0    0 00:58:14        0
10.10.10.42     4        65001     370     370        1    0    0 00:58:09        0
10.10.10.43     4        65001     366     366        1    0    0 00:58:07        0
10.10.10.44     4        65001     367     366        1    0    0 00:58:12        0
10.10.10.45     4        65001     370     367        1    0    0 00:58:05        0
10.10.10.46     4        65001     367     366        1    0    0 00:58:06        0
10.10.10.47     4        65001     367     367        1    0    0 00:58:01        0
10.10.10.48     4        65001     367     364        1    0    0 00:58:04        0
10.10.10.49     4        65001     367     366        1    0    0 00:58:03        0
10.10.10.50     4        65001     368     366        1    0    0 00:58:00        0
